record_flag,timestamp,EyeBlink_L,EyeBlink_R,EyeSquint_L,EyeSquint_R,EyeDown_L,EyeDown_R,EyeIn_L,EyeIn_R,EyeOpen_L,EyeOpen_R,EyeOut_L,EyeOut_R,EyeUp_L,EyeUp_R,BrowsD_L,BrowsD_R,BrowsU_C,BrowsU_L,BrowsU_R,JawFwd,JawLeft,JawOpen,JawChew,JawRight,MouthLeft,MouthRight,MouthFrown_L,MouthFrown_R,MouthSmile_L,MouthSmile_R,MouthDimple_L,MouthDimple_R,LipsStretch_L,LipsStretch_R,LipsUpperClose,LipsLowerClose,LipsUpperUp,LipsLowerDown,LipsUpperOpen,LipsLowerOpen,LipsFunnel,LipsPucker,ChinLowerRaise,ChinUpperRaise,Sneer,Puff,CheekSquint_L,CheekSquint_R
False,2305619.363098352,0.462608128786,0.0908441469073,0.00159302260727,0.0115993209183,0.61420404911,0.614081919193,0.32323256135,0.0,0.0,0.0,0.0,0.143346771598,2.0858251446e-06,1.16755254567e-05,0.0,0.0,3.40397200489e-05,0.303804397583,0.0967942774296,0.0,0.0,0.0188181959093,0.0775843411684,0.0,0.00833703391254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.347063273191,0.457697927952,0.103826962411,0.189150959253,0.0,0.0238289032131,0.0,0.0193741712719,0.000226199132157,0.43213185668,0.0,0.0,0.0,0.0987539514899,0.0,0.0
False,2305652.9550983524,0.293765693903,0.0564696192741,0.0,0.000570782343857,0.618199467659,0.61812800169,0.29954329133,0.0,0.0,0.0,0.0,0.121370136738,0.0,1.06460920506e-05,0.0,0.0,0.0,0.321302801371,0.0619493722916,0.0,0.0,0.0121880155057,0.0728377178311,0.0,0.0145417880267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.318585127592,0.458427280188,0.1094218418,0.186849147081,0.0,0.0284831151366,0.0,0.0154176112264,0.00145766860805,0.436525315046,0.0,0.0,0.00440475530922,0.0995507389307,0.0,0.0
False,2305686.5460983524,0.0449884198606,0.00114087713882,0.0797944515944,0.0768777132034,0.6754732728,0.675532400608,0.252897173166,0.0,0.0337100066245,0.0858020633459,0.0,0.0744931176305,8.0970057752e-05,0.000116069531941,0.0,0.0,0.0,0.326267451048,0.105905801058,0.0,0.0,0.00896664243191,0.0696682482958,0.0,0.00443146470934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.300331264734,0.459907472134,0.0995690226555,0.185203224421,0.0,0.0327823646367,0.0,0.0154522014782,0.000541022338439,0.429705888033,0.0,0.0,0.00164780416526,0.0856351330876,0.0,0.0
False,2305720.138098352,0.00208459771238,0.0,0.164091870189,0.207669004798,0.697938144207,0.697811305523,0.252149134874,0.0,0.111237891018,0.435535520315,0.0,0.0706415995955,0.0,0.000192728883121,0.0,0.0,0.0,0.313972711563,0.133336022496,0.0,0.0,0.0174362193793,0.0718179121614,0.0,0.000223540017032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.340594500303,0.481511980295,0.115494370461,0.190023571253,0.0,0.0340977311134,0.0,0.0176033060998,2.8350537832e-05,0.435810029507,0.0,0.0,0.0338669121265,0.0906098484993,0.0,0.0
False,2305753.729098352,0.0,0.0,0.232879117131,0.226913705468,0.697802364826,0.697844982147,0.250512480736,0.0,0.29377758503,0.569696545601,0.0,0.0713842883706,7.40907198633e-05,6.60117439111e-05,0.0,0.0,0.0,0.309207588434,0.134560912848,0.0,0.0,0.0164831448346,0.071596942842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.359203785658,0.452787309885,0.120773993433,0.18774650991,0.0,0.0293378140777,0.0,0.0170178171247,0.0,0.434903472662,0.0,0.0,0.0526329800487,0.0807943195105,0.0,0.0
False,2305787.3210983523,0.0,0.0,0.247078150511,0.245729967952,0.697035133839,0.696898758411,0.247687280178,0.0,0.391207069159,0.744853913784,0.0,0.0686609521508,0.0,0.000131381719257,0.0,0.0,0.00393548281863,0.324871093035,0.123949639499,0.0,0.0,0.00778723973781,0.0678324401379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.318622022867,0.38959261775,0.110544599593,0.173563763499,0.0,0.0262543074787,0.0,0.0165443271399,0.0,0.409263253212,0.0,0.0,0.034317150712,0.0600621774793,0.0,0.0
False,2305820.9120983523,0.0,0.0,0.354717671871,0.273224502802,0.691862881184,0.69182652235,0.248102173209,0.0,0.523495614529,0.849200308323,0.0,0.0692458897829,3.70851666958e-05,7.57742818678e-05,0.0,0.0,0.00147234171163,0.360589087009,0.11975505203,0.0,0.0,0.00434929318726,0.0674401521683,0.0,0.00281287869439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.306372642517,0.38268995285,0.105450838804,0.162580400705,0.0,0.0225109439343,0.0,0.0215252749622,0.00276536587626,0.398102372885,0.0,0.0,0.00916388258338,0.0480459183455,0.0,0.0
False,2305854.4720983524,0.0,0.0,0.337585538626,0.296988159418,0.682869315147,0.682686805725,0.245724245906,0.0,0.517326235771,0.858328938484,0.0,0.0666397735476,0.0,7.2838854976e-05,0.0,0.0,0.00104428455234,0.378024816513,0.139120101929,0.0,0.0,0.00874642748386,0.0735044330359,0.0,0.012535950169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.347396731377,0.425981491804,0.109098374844,0.156679734588,0.0,0.0149074280635,0.0,0.022888250649,0.00103470566683,0.415473937988,0.0,0.0,0.000892939860933,0.0495758131146,0.0,0.0
False,2305888.0320983524,0.0,0.0,0.389838218689,0.282748907804,0.669916093349,0.669713199139,0.235810399055,0.0,0.546308577061,0.88653922081,0.0,0.0568767897785,2.3272141334e-05,7.39517490729e-05,0.0,0.0,0.000361903657904,0.331736981869,0.139620915055,0.0,0.0,0.0197513010353,0.0863694772124,0.0,0.0330502018332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.467441320419,0.556113660336,0.131133049726,0.176025822759,0.0,0.0129365064204,0.0,0.02860776335,0.00176747853402,0.459004700184,0.0,0.0,0.0234065484256,0.0737782046199,0.0,0.0
False,2305921.5600983524,0.0,0.0,0.406896531582,0.379426300526,0.656673669815,0.656274020672,0.22828412056,0.0,0.553113222122,0.907706022263,0.0,0.0492004007101,0.0,8.45929826028e-05,0.0,0.0,1.89644852071e-05,0.266751170158,0.160319685936,0.0,0.0,0.0209828130901,0.0941529646516,0.0,0.0108557799831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.530536055565,0.586096465588,0.120953448117,0.217063963413,0.0,0.0108240051195,0.0,0.0180307272822,0.000641088816337,0.450749158859,0.0,0.0,0.0446764118969,0.0783330351114,0.0,0.0
