,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,method,param_C,param_alpha,param_bootstrap,param_criterion,param_kernel,param_learning_rate,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,param_n_iter,param_penalty,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
18,0.008906364440917969,0.0007982730865478515,0.53,1.0,4v1_T,,,False,gini,,,8,8,1,4,,,,"{'max_features': 8, 'max_depth': 8, 'criterion': 'gini', 'bootstrap': False, 'min_samples_leaf': 1, 'min_samples_split': 4}",27,0.55,1.0,0.65,1.0,0.5,1.0,0.45,1.0,0.5,1.0,5.145181207516414e-05,2.219183945934888e-05,0.06782329983125268,0.0
19,0.009184932708740235,0.0008542060852050782,0.57,0.835,4v1_T,,,False,entropy,,,2,10,6,2,,,,"{'max_features': 10, 'max_depth': 2, 'criterion': 'entropy', 'bootstrap': False, 'min_samples_leaf': 6, 'min_samples_split': 2}",13,0.55,0.8,0.55,0.8,0.55,0.875,0.6,0.8875,0.6,0.8125,5.5366441075606775e-05,8.644380400902727e-05,0.024494897427831747,0.03824264635194586
20,0.007997417449951172,0.0008501052856445312,0.53,0.9049999999999999,4v1_T,,,True,gini,,,5,6,7,10,,,,"{'max_features': 6, 'max_depth': 5, 'criterion': 'gini', 'bootstrap': True, 'min_samples_leaf': 7, 'min_samples_split': 10}",27,0.7,0.9,0.45,0.875,0.4,0.9,0.45,0.9375,0.65,0.9125,0.00017947650227477627,5.739990547956622e-05,0.12083045973594571,0.020310096011589895
21,0.008031702041625977,0.0008378028869628906,0.54,0.875,4v1_T,,,True,entropy,,,7,2,6,4,,,,"{'max_features': 2, 'max_depth': 7, 'criterion': 'entropy', 'bootstrap': True, 'min_samples_leaf': 6, 'min_samples_split': 4}",23,0.5,0.9125,0.35,0.7875,0.6,0.85,0.6,0.9,0.65,0.925,0.00023096741737784835,2.1603407282527866e-05,0.10677078252031312,0.05062114182829148
22,0.007725048065185547,0.0008249759674072265,0.51,0.7274999999999999,4v1_T,,,False,entropy,,,1,4,6,10,,,,"{'max_features': 4, 'max_depth': 1, 'criterion': 'entropy', 'bootstrap': False, 'min_samples_leaf': 6, 'min_samples_split': 10}",37,0.75,0.7125,0.2,0.625,0.65,0.7125,0.4,0.8125,0.55,0.775,0.00015200723495349387,1.7937825483227764e-05,0.19339079605813714,0.06393355926272211
23,0.0078765869140625,0.0007947444915771485,0.5,0.8975,4v1_T,,,False,entropy,,,3,2,7,5,,,,"{'max_features': 2, 'max_depth': 3, 'criterion': 'entropy', 'bootstrap': False, 'min_samples_leaf': 7, 'min_samples_split': 5}",41,0.6,0.9125,0.35,0.8875,0.45,0.875,0.4,0.9,0.7,0.9125,9.26574967609638e-05,1.776280818073413e-05,0.13038404810405296,0.01457737973711325
24,0.008634042739868165,0.0008693218231201171,0.62,0.9324999999999999,4v1_T,,,True,entropy,,,4,5,4,5,,,,"{'max_features': 5, 'max_depth': 4, 'criterion': 'entropy', 'bootstrap': True, 'min_samples_leaf': 4, 'min_samples_split': 5}",2,0.7,0.95,0.6,0.9,0.65,0.95,0.55,0.9125,0.6,0.95,0.0001553321762795822,0.0001018050571231024,0.05099019513592783,0.021794494717703346
25,0.007644844055175781,0.0007993221282958984,0.54,0.79,4v1_T,,,True,gini,,,8,2,10,10,,,,"{'max_features': 2, 'max_depth': 8, 'criterion': 'gini', 'bootstrap': True, 'min_samples_leaf': 10, 'min_samples_split': 10}",23,0.7,0.7875,0.35,0.7,0.45,0.8375,0.55,0.8,0.65,0.825,0.00012630023893952112,2.4378273481247643e-05,0.12806248474865697,0.048347699014534305
26,0.008099842071533202,0.0008239269256591797,0.6,0.7525000000000001,4v1_T,,,True,entropy,,,1,7,7,2,,,,"{'max_features': 7, 'max_depth': 1, 'criterion': 'entropy', 'bootstrap': True, 'min_samples_leaf': 7, 'min_samples_split': 2}",3,0.8,0.775,0.35,0.675,0.6,0.8125,0.75,0.8,0.5,0.7,9.036666779565735e-05,3.7271283383691577e-05,0.16431676725154987,0.055
27,0.00798497200012207,0.0008150577545166015,0.57,0.8600000000000001,4v1_T,,,True,entropy,,,4,3,8,6,,,,"{'max_features': 3, 'max_depth': 4, 'criterion': 'entropy', 'bootstrap': True, 'min_samples_leaf': 8, 'min_samples_split': 6}",13,0.65,0.85,0.5,0.8375,0.55,0.8875,0.6,0.8875,0.55,0.8375,7.18411161100585e-05,1.76388503743725e-05,0.05099019513592785,0.022912878474779172
28,0.008321475982666016,0.0008640289306640625,0.58,0.9525,4v1_T,,,True,entropy,,,5,3,1,4,,,,"{'max_features': 3, 'max_depth': 5, 'criterion': 'entropy', 'bootstrap': True, 'min_samples_leaf': 1, 'min_samples_split': 4}",6,0.65,0.9375,0.55,0.975,0.6,0.9875,0.6,0.975,0.5,0.8875,5.5120478006723255e-05,6.41846550081731e-05,0.05099019513592784,0.0365718470958195
