,session,session_type,question,question_type,record_flag,answer_index,timestamp,00,10,20,30,40,50,01,11,21,31,41,51,02,12,22,32,42,52,blinks_right,EyeBlink_R_max,EyeIn_R_min,JawOpen_max,smiles,EyeBlink_L_max,smiles_left,LipsUpperClose_max,blinks_left,LipsStretch_R_max,LipsLowerDown_max,MouthDimple_L_max,blinks,EyeOpen_R_max,smiles_right
0,1.0,2.0,1.0,5.0,4.0,1.0,17119419.5500647,0.04576369716243589,-0.12497558265674152,-0.04556933681849428,0.017643769455532237,-0.05355569751218546,0.058979419817504174,0.042136927501340626,-0.04237529088678746,0.08745602063463466,-0.04233191959553418,-0.04553670235652499,0.03297034805462259,0.01112325161930124,0.02804190931550372,-0.0271209968392302,-0.025250457810601656,0.02695804702201542,-0.10422817596401643,0,0.0,0.7765381336212159,0.41661956906318703,0,0.0,0,0.191380873322487,0,0.37101003527641296,1.0,0.149563267827034,0,0.413919687271118,0
1,1.0,2.0,1.0,5.0,4.0,3.0,17125384.5490831,0.05991331792239054,-0.0944241831852326,0.030238236014940367,0.033988463632187806,-0.06336171464299302,-0.060750690688087215,0.08739312429557476,0.02335058853707486,0.038804044772654846,0.05243563843545308,-0.006447107886005658,-0.08464195359746023,0.014665221431101539,0.05405805802652359,-0.01774363325373725,-0.020924358121589406,0.01629359846624342,-0.14757396009491375,1,0.36955940723419206,0.770424783229828,0.34071263670921303,0,0.706507563591003,1,0.231649994850159,1,0.31545206904411305,0.541250169277191,0.11027309298515302,1,0.460610628128052,0
2,1.0,2.0,2.0,1.0,4.0,1.0,17131349.334262,0.04580897663766635,-0.10103003064193279,0.07786376978927888,0.16117761081706644,0.016267916290191697,0.0013784218935905532,0.10808677335845226,-0.09501934256865761,-0.0011631153667125056,-0.071015251365325,-0.04836660509917007,-0.012939970052453231,0.014570858491338972,0.18562747661343998,0.4429287269869166,0.07874826772023319,0.016456162263079013,-0.08246178453024072,0,0.037882950156927005,0.620286822319031,0.42267546057701094,0,0.0,0,0.221489042043686,0,0.344067186117172,1.0,0.10717000812292099,0,0.490596950054169,0
3,1.0,2.0,2.0,1.0,4.0,3.0,17136679.5744106,0.07230609646554521,-0.0764596066561043,0.16454994089573116,0.14174597494220262,0.02717492473958154,-0.045850576146704645,0.00647227471126369,0.011230889538657278,0.0862872069973512,0.035857793373060075,0.024648163720730507,-0.06361410576957231,0.009850449944383274,0.03158713668362055,-0.020327116638893708,-0.019174890444126545,-0.0249788713992072,-0.16294939498868266,1,0.27594622969627397,0.679043829441071,0.295516073703766,0,0.684629857540131,1,0.11927650123834599,1,0.24338528513908397,0.33377739787101696,0.070751450955868,1,0.43912214040756203,0
4,1.0,2.0,3.0,4.0,3.0,1.0,17141806.8327262,0.04776228200666648,-0.07239049316823906,-0.017430716193881226,0.004109022890566225,-0.05605180496181536,0.06801296322048517,0.050732869054582505,-0.002520376885973091,0.11448489204406417,-0.020082332063346604,-0.031381727461037456,0.04885204663705654,0.008912382441070626,0.02729922712491581,-0.0023161266737898156,-0.005769850436696777,0.0021801107913106675,-0.13619723723091992,1,0.20533461868763,0.721938133239746,0.38378325104713396,0,0.349319279193878,1,0.326596051454544,1,0.4784010946750639,0.973192811012268,0.075042717158794,1,0.36637985706329396,0
5,1.0,2.0,3.0,4.0,3.0,3.0,17146767.0736043,0.03976719513534343,-0.06050091884002973,0.07068299997407419,0.06214948440100096,-0.008478082107814972,-0.08825117135041992,0.03184872741584312,-0.06955919587126365,0.02808504596308844,-0.005576047140036998,-0.02057049617453691,0.04494013944655391,0.012020156812770806,0.030110116194369776,-0.01086672726142628,-0.004204247686377846,0.009322975292672762,-0.07985705562809366,1,0.44214025139808705,0.7553351521492,0.41366502642631503,0,1.0,1,0.304789185523987,1,0.254897952079773,1.0,0.062896057963371,1,0.481859505176544,0
6,1.0,2.0,4.0,4.0,3.0,1.0,17152027.2813439,0.059570670755652845,-0.027997661638652496,0.053844438962065394,-0.02359590918273703,-0.04762986075326827,-0.003477030921207977,0.07483501626483084,0.003177850668605372,0.05520539323534847,0.028963403550077992,-0.024956561974147116,0.010927008199984063,0.010337884337528637,0.056108657565217164,-0.02919558215495405,0.08046020695038314,-0.013543601796304688,-0.042977946709728015,2,0.29830744862556496,0.790757298469543,0.304872959852219,0,0.5286269187927249,2,0.24221135675907102,2,0.383135497570038,0.9237073659896851,0.092243187129498,2,0.416681259870529,0
7,1.0,2.0,4.0,4.0,3.0,3.0,17156318.3130943,0.06166372762310317,-0.16882648790713872,-0.05570311166854883,-0.048673963038491586,0.04703282413438899,0.04656913695522655,0.02606267547330886,-0.05785418082464179,-0.025792217465582235,0.08783753905669403,-0.14076333894458815,0.046595729311327605,0.009182328129889365,0.13426822486678766,-0.17271484158885048,0.34302680479492487,-0.02207510761101729,-0.06539362349325936,0,0.011450293473898998,0.799786984920502,0.49009066820144703,0,0.0,0,0.32043650746345503,0,0.37610667943954496,1.0,0.064314663410187,0,0.307910293340683,0
8,1.0,2.0,5.0,5.0,3.0,1.0,17160909.3163107,0.06856745417998414,-0.020243950717847608,-0.05302967146540765,-0.019038525132590814,-0.07358753835111956,-0.006426503921871632,0.005607120896620825,-0.06549902667239478,0.052926711226154624,0.008963064807048105,-0.08827620800738219,0.03464013943353702,0.008358904683120472,0.05353328815667607,-0.0316232616137138,-0.05635632802899572,0.047973106556971616,-0.11629982720174967,0,0.018291065469384,0.471700519323349,0.543590843677521,0,0.16281265020370497,5,0.12013263255357699,5,0.432323098182678,0.9415704607963559,0.061231710016727996,5,0.36954060196876504,0
9,1.0,2.0,5.0,5.0,3.0,3.0,17165398.9864045,0.03732422066479932,-0.06391320916833237,-0.009651933717433893,-0.06069709508041571,0.009745113865889698,0.050962765740987355,0.01395078073104252,-0.019252009478375735,0.11697439125834423,0.047084855295114435,-0.042213735653585445,-0.0429124706040344,0.011622010961450107,0.04478475385530143,0.015185627340245332,-0.03518005544077033,0.011279332364524365,-0.15675345111196354,1,0.31467795372009305,0.7237456440925601,0.36778342723846397,0,0.811562299728394,1,0.155325412750244,1,0.501701235771179,0.913517594337463,0.05684426799416599,1,0.547469198703766,0
