,session,session_type,question,question_type,record_flag,answer_index,timestamp,EyeBlink_L_max,EyeBlink_R_max,JawOpen_max,LipsLowerDown_var,EyeBlink_R_var,EyeBlink_L_var,LipsLowerDown_max,LipsUpperClose_max,LipsUpperClose_skew,EyeOpen_R_var,LipsUpperClose_kurt,EyeIn_R_skew,EyeBlink_R_mean,JawOpen_var,MouthDimple_L_max,EyeOpen_R_max,EyeIn_R_var,LipsStretch_R_max,EyeIn_R_min,LipsStretch_R_mean,EyeBlink_R_avg_level,EyeBlink_L_avg_level,EyeBlink_L_ratio,LipsFunnel_avg_length,LipsStretch_R_avg_level,EyeBlink_R_ratio,LipsStretch_L_avg_level,LipsPucker_avg_level,EyeBlink_R_avg_length,LipsStretch_R_ratio,avg_volume,LipsPucker_ratio,EyeOut_L_avg_level,MouthDimple_R_avg_level,EyeIn_R_avg_level,ChinUpperRaise_ratio,LipsStretch_L_avg_length,ChinUpperRaise_avg_length,EyeIn_R_ratio,LipsLowerClose_avg_level,EyeBlink_L_fast_change_ratio,ChinUpperRaise_slow_change_ratio,ChinUpperRaise_change_ratio,EyeBlink_L_change_ratio,LipsFunnel_change_ratio,EyeSquint_L_fast_change_ratio,LipsLowerDown_fast_change_ratio,EyeSquint_L_change_ratio,LipsFunnel_slow_change_ratio,JawOpen_fast_change_ratio,LipsUpperClose_change_ratio,audio_rms_change_ratio,LipsLowerClose_slow_change_ratio,MouthSmile_R_fast_change_ratio,MouthSmile_R_slow_change_ratio,LipsLowerDown_slow_change_ratio,EyeBlink_R_fast_change_ratio,EyeSquint_L_slow_change_ratio,EyeOpen_R_change_ratio,EyeOut_L_fast_change_ratio,smiles_left,blinks_left,blinks,blinks_right,smiles,smiles_right
0,1.0,2.0,1.0,5.0,4.0,1.0,17119419.5500647,0.0,0.0,0.41661956906318703,0.05846100748759589,0.0,0.0,1.0,0.191380873322487,1.86720656069293,0.0033121675708476226,2.6990701889524376,0.3558567501250214,0.0,0.008286596772937927,0.149563267827034,0.413919687271118,0.00035965082407164923,0.37101003527641296,0.7765381336212159,0.1441611201054864,0.0,0.0,0.0,3.0,0.8561643835616438,0.0,0.4589041095890411,0.136986301369863,0.0,0.7647058823529412,30.791666666666668,0.14705882352941177,0.5684931506849316,0.5684931506849316,0.5616438356164383,0.05882352941176471,4.2,1.5,0.7352941176470589,0.02054794520547945,0.0,0.05263157894736842,0.09210526315789473,0.0,0.21052631578947367,0.0,0.05263157894736842,0.0,0.10526315789473684,0.09210526315789473,0.07894736842105263,0.17105263157894737,0.0,0.02631578947368421,0.14473684210526316,0.02631578947368421,0.0,0.0,0.4605263157894737,0.02631578947368421,0,0,0,0,0,0
1,1.0,2.0,1.0,5.0,4.0,3.0,17125384.5490831,0.706507563591003,0.36955940723419206,0.34071263670921303,0.01599506777369169,0.0033910838574699215,0.011820758733727978,0.541250169277191,0.231649994850159,1.8051515298858403,0.012685748645982872,5.928372957416409,0.46391207072297613,0.01469581557314965,0.0061454300260606,0.11027309298515302,0.460610628128052,0.0005792954781946489,0.31545206904411305,0.770424783229828,0.22961413663822217,0.07109004739336493,0.07109004739336493,0.1,5.0,0.6161137440758293,0.08750000000000001,0.5829383886255924,1.0,2.5,0.75,40.916666666666664,0.9625,0.6966824644549763,0.7345971563981042,0.7014218009478672,0.8875000000000001,5.571428571428571,3.2857142857142856,0.75,0.02843601895734597,0.022222222222222223,0.08888888888888889,0.17777777777777778,0.05555555555555555,0.06666666666666667,0.0,0.011111111111111112,0.0,0.022222222222222223,0.022222222222222223,0.26666666666666666,0.14444444444444443,0.022222222222222223,0.13333333333333333,0.2,0.044444444444444446,0.011111111111111112,0.0,0.43333333333333335,0.044444444444444446,1,1,1,1,0,0
2,1.0,2.0,2.0,1.0,4.0,1.0,17131349.334262,0.0,0.037882950156927005,0.42267546057701094,0.05543190010825501,1.6687417588281582e-05,0.0,1.0,0.221489042043686,2.7937889882646894,0.011303449986499937,6.994954286173537,-0.8880869312569856,0.00044049942042938376,0.008827952803712824,0.10717000812292099,0.490596950054169,0.001093561348005312,0.344067186117172,0.620286822319031,0.15101344563976632,1.0,0.0,0.0,2.2,0.3684210526315789,1.0,0.6491228070175439,0.45614035087719296,42.5,0.37209302325581395,42.375,0.45348837209302323,0.7719298245614036,0.49122807017543857,0.7368421052631579,0.5116279069767442,5.0,2.3846153846153846,0.6511627906976745,0.11695906432748537,0.0,0.21176470588235294,0.3764705882352941,0.0,0.10588235294117647,0.0,0.047058823529411764,0.023529411764705882,0.058823529411764705,0.07058823529411765,0.09411764705882353,0.10588235294117647,0.07058823529411765,0.011764705882352941,0.09411764705882353,0.023529411764705882,0.0,0.023529411764705882,0.4117647058823529,0.047058823529411764,0,0,0,0,0,0
3,1.0,2.0,2.0,1.0,4.0,3.0,17136679.5744106,0.684629857540131,0.27594622969627397,0.295516073703766,0.004880914745284688,0.0022807366307468803,0.015017017136111971,0.33377739787101696,0.11927650123834599,0.7572728179627499,0.009182485087115473,0.4624971399615081,0.8327020018954914,0.01156590385910344,0.004105488208874321,0.070751450955868,0.43912214040756203,0.0012949268455750332,0.24338528513908397,0.679043829441071,0.16904133163830815,0.05785123966942149,0.09090909090909093,0.07692307692307693,4.5,0.7438016528925621,0.061538461538461535,0.7355371900826447,0.9504132231404959,1.0,0.7846153846153846,27.583333333333332,0.8769230769230769,0.7438016528925621,0.1900826446280992,0.6942148760330579,0.9538461538461538,2.5384615384615383,2.272727272727273,0.7846153846153846,0.0743801652892562,0.05970149253731343,0.34328358208955223,0.4626865671641791,0.08955223880597014,0.07462686567164178,0.0,0.19402985074626866,0.0,0.029850746268656716,0.0,0.3283582089552239,0.16417910447761194,0.029850746268656716,0.08955223880597014,0.08955223880597014,0.029850746268656716,0.05970149253731343,0.0,0.44776119402985076,0.13432835820895522,1,1,1,1,0,0
4,1.0,2.0,3.0,4.0,3.0,1.0,17141806.8327262,0.349319279193878,0.20533461868763,0.38378325104713396,0.0634416133332673,0.002599803933424396,0.00745228794922997,0.973192811012268,0.326596051454544,1.9502330000736305,0.009612150384036903,3.380949541849901,0.9130779568451671,0.01693006413398496,0.01060173918034236,0.075042717158794,0.36637985706329396,0.00292887104740135,0.4784010946750639,0.721938133239746,0.171388796412609,0.14563106796116504,0.17475728155339804,0.17187499999999997,2.625,0.45631067961165045,0.140625,0.8058252427184466,0.8640776699029127,2.0,0.375,24.958333333333332,0.828125,0.7864077669902912,0.30097087378640774,1.0,0.140625,2.6363636363636362,2.0,0.734375,0.2135922330097087,0.04285714285714286,0.02857142857142857,0.12857142857142856,0.07142857142857142,0.21428571428571427,0.0,0.05714285714285714,0.0,0.02857142857142857,0.0,0.14285714285714285,0.14285714285714285,0.08571428571428572,0.014285714285714285,0.07142857142857142,0.02857142857142857,0.014285714285714285,0.0,0.35714285714285715,0.014285714285714285,1,1,1,1,0,0
5,1.0,2.0,3.0,4.0,3.0,3.0,17146767.0736043,1.0,0.44214025139808705,0.41366502642631503,0.060250688596162144,0.006182789137422055,0.03524666826612543,1.0,0.304789185523987,1.397798491655304,0.015816148807624775,1.9745337956354345,-0.33719510492865,0.019842095871766413,0.008849214586821212,0.062896057963371,0.481859505176544,0.000401646399689893,0.254897952079773,0.7553351521492,0.19072277165949345,0.0569620253164557,0.1139240506329114,0.11594202898550725,2.6666666666666665,0.6708860759493671,0.07246376811594203,0.5253164556962026,0.06962025316455697,1.5,0.7246376811594202,33.291666666666664,0.08695652173913043,0.5632911392405064,0.4873417721518988,0.6139240506329114,0.2898550724637681,3.125,2.375,0.7391304347826088,0.13924050632911394,0.02702702702702703,0.21621621621621623,0.22972972972972974,0.08108108108108109,0.08108108108108109,0.05405405405405406,0.02702702702702703,0.08108108108108109,0.02702702702702703,0.06756756756756757,0.22972972972972974,0.13513513513513514,0.02702702702702703,0.06756756756756757,0.20270270270270271,0.05405405405405406,0.02702702702702703,0.02702702702702703,0.2972972972972973,0.12162162162162163,1,1,1,1,0,0
6,1.0,2.0,4.0,4.0,3.0,1.0,17152027.2813439,0.5286269187927249,0.29830744862556496,0.304872959852219,0.050763364852585945,0.0036658622653567563,0.015411377880294834,0.9237073659896851,0.24221135675907102,1.8679457018211427,0.01709503153251539,5.0346495559155215,0.4504510782407114,0.02477206155795177,0.004742892616875762,0.092243187129498,0.416681259870529,0.0004950219561843253,0.383135497570038,0.790757298469543,0.2231465822360554,0.15873015873015872,0.38095238095238093,0.3620689655172414,2.5,0.5396825396825397,0.17241379310344826,0.5,0.11904761904761904,2.6666666666666665,0.5517241379310346,29.125,0.13793103448275865,0.7460317460317459,0.5714285714285714,0.5555555555555555,0.5344827586206897,2.7777777777777777,9.0,0.7413793103448276,0.1111111111111111,0.016666666666666666,0.05,0.2,0.18333333333333332,0.1,0.0,0.03333333333333333,0.0,0.03333333333333333,0.0,0.31666666666666665,0.15,0.08333333333333333,0.15,0.05,0.06666666666666667,0.11666666666666667,0.0,0.31666666666666665,0.05,2,2,2,2,0,0
7,1.0,2.0,4.0,4.0,3.0,3.0,17156318.3130943,0.0,0.011450293473898998,0.49009066820144703,0.08042698150756092,2.0485815724752188e-06,0.0,1.0,0.32043650746345503,0.7355709155883303,0.006623541421619692,1.6462817142945294,-0.6728144699124542,0.00017891083552967185,0.013914494906779673,0.064314663410187,0.307910293340683,0.0005133941989861583,0.37610667943954496,0.799786984920502,0.28768290526932105,0.007874015748031496,0.0,0.0,1.5,0.7716535433070866,0.015625,0.5275590551181102,0.06299212598425197,0.0,0.796875,26.958333333333332,0.0625,0.4251968503937008,0.9763779527559056,0.5984251968503937,1.0,5.0,31.5,0.640625,0.2047244094488189,0.0,0.031746031746031744,0.031746031746031744,0.0,0.1746031746031746,0.0,0.015873015873015872,0.0,0.031746031746031744,0.12698412698412698,0.25396825396825395,0.2222222222222222,0.1746031746031746,0.36507936507936506,0.0,0.06349206349206349,0.031746031746031744,0.0,0.5873015873015873,0.23809523809523808,0,0,0,0,0,0
8,1.0,2.0,5.0,5.0,3.0,1.0,17160909.3163107,0.16281265020370497,0.018291065469384,0.543590843677521,0.0712968764215712,1.2233166776768061e-05,0.0032849563164682326,0.9415704607963559,0.12013263255357699,1.0684090946305427,0.006409443123588933,0.22185612455410064,-0.07118345716997425,0.0006860483367488114,0.021604618124992737,0.061231710016727996,0.36954060196876504,0.008135367010804835,0.432323098182678,0.471700519323349,0.20767135470051246,0.031578947368421054,0.1894736842105263,0.24489795918367346,5.4,0.7052631578947368,0.04081632653061224,0.6421052631578947,0.7368421052631579,1.0,0.8571428571428572,23.75,0.7346938775510203,0.7684210526315789,0.9052631578947369,0.6736842105263158,0.10204081632653061,7.333333333333333,1.5,0.6938775510204082,0.2105263157894737,0.17307692307692307,0.057692307692307696,0.09615384615384616,0.2692307692307692,0.15384615384615385,0.0,0.07692307692307693,0.0,0.019230769230769232,0.11538461538461539,0.28846153846153844,0.15384615384615385,0.11538461538461539,0.07692307692307693,0.17307692307692307,0.019230769230769232,0.057692307692307696,0.0,0.4230769230769231,0.07692307692307693,5,5,5,0,0,0
9,1.0,2.0,5.0,5.0,3.0,3.0,17165398.9864045,0.811562299728394,0.31467795372009305,0.36778342723846397,0.049264482795739535,0.001544272398505312,0.009928629804142556,0.913517594337463,0.155325412750244,1.3959976308262483,0.021686206697695203,0.8923745738388655,0.8479994638135846,0.007641316881697448,0.0067833542291298125,0.05684426799416599,0.547469198703766,0.0003850889696428172,0.501701235771179,0.7237456440925601,0.2927265087828824,0.08510638297872339,0.12056737588652482,0.1081081081081081,4.333333333333333,1.0,0.06756756756756756,0.7517730496453899,0.8156028368794326,4.0,0.8513513513513513,32.541666666666664,0.8513513513513513,0.6453900709219859,0.23404255319148937,0.8936170212765957,0.040540540540540536,4.444444444444445,1.0,0.7162162162162161,0.5531914893617021,0.02666666666666667,0.0,0.05333333333333334,0.06666666666666667,0.18666666666666668,0.0,0.04,0.0,0.09333333333333334,0.05333333333333334,0.21333333333333335,0.09333333333333334,0.04,0.17333333333333334,0.05333333333333334,0.02666666666666667,0.02666666666666667,0.0,0.25333333333333335,0.14666666666666667,1,1,1,1,0,0
