session,session_type,question,question_type,record_flag,answer_index,timestamp,EyeBlink_L,EyeBlink_R,EyeSquint_L,EyeSquint_R,EyeDown_L,EyeDown_R,EyeIn_L,EyeIn_R,EyeOpen_L,EyeOpen_R,EyeOut_L,EyeOut_R,EyeUp_L,EyeUp_R,BrowsD_L,BrowsD_R,BrowsU_C,BrowsU_L,BrowsU_R,JawFwd,JawLeft,JawOpen,JawChew,JawRight,MouthLeft,MouthRight,MouthFrown_L,MouthFrown_R,MouthSmile_L,MouthSmile_R,MouthDimple_L,MouthDimple_R,LipsStretch_L,LipsStretch_R,LipsUpperClose,LipsLowerClose,LipsUpperUp,LipsLowerDown,LipsUpperOpen,LipsLowerOpen,LipsFunnel,LipsPucker,ChinLowerRaise,ChinUpperRaise,Sneer,Puff,CheekSquint_L,CheekSquint_R,audio_rms
0,0,0,0,0,0,405745.3821150273,0.47594746947288513,0.3823539912700653,0.0,0.0,0.4899544417858124,0.4899544417858124,0.1962440311908722,0.0,0.0,0.0,0.0,0.09394977986812592,0.0,0.0,0.39602479338645935,0.7003518342971802,0.0,0.0,0.0,0.04025408998131752,0.032758865505456924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09856593608856201,0.05363544076681137,0.09390073269605637,0.0,0.16536206007003784,0.04567311331629753,0.0,0.0,0
0,0,0,0,0,0,405778.7831150273,0.4734826683998108,0.3847053349018097,0.0,0.0,0.4898163974285126,0.4898163974285126,0.19782190024852753,0.0,0.0,0.0,0.0,0.09553820639848709,0.0,0.0,0.40053486824035645,0.7003059983253479,0.0,0.0,0.0,0.04210014268755913,0.03312700241804123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09804316610097885,0.053817808628082275,0.09206688404083252,0.0,0.16367463767528534,0.04817750304937363,0.0,0.0,0
0,0,0,0,0,0,405812.1841150273,0.4796038568019867,0.38763493299484253,0.0,0.0,0.48941513895988464,0.48941513895988464,0.19867195188999176,0.0,0.0,0.0,0.0,0.09639782458543777,0.0,0.0,0.4065147340297699,0.6979570984840393,0.0,0.0,0.0,0.04498668760061264,0.0326739065349102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09887232631444931,0.052826620638370514,0.0900583490729332,0.0,0.16324542462825775,0.05118429288268089,0.0,0.0,0
0,0,0,0,0,0,405845.58511502726,0.4675755500793457,0.39310091733932495,0.0,0.0,0.48990321159362793,0.48990321159362793,0.19897279143333435,0.0,0.0,0.0,0.0,0.09668838232755661,0.0,0.0,0.4063524603843689,0.695460319519043,0.0,0.0,0.0,0.04592824727296829,0.03363379091024399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10046379268169403,0.05288504809141159,0.08919040113687515,0.0,0.16425399482250214,0.05412467196583748,0.0,0.0,0
0,0,0,0,0,0,405878.9861150273,0.4659714102745056,0.3944171667098999,0.0,0.0,0.49046409130096436,0.49046409130096436,0.19919699430465698,0.0,0.0,0.0,0.0,0.09690116345882416,0.0,0.0,0.4051252603530884,0.6935806274414062,0.0,0.0,0.0,0.04329771175980568,0.03381643816828728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10305684059858322,0.04924580827355385,0.08686038106679916,0.0,0.16359911859035492,0.05376569181680679,0.0,0.0,0
0,0,0,0,0,0,405912.3871150273,0.46186795830726624,0.391121506690979,0.0,0.0,0.4905804395675659,0.4905804395675659,0.20021574199199677,0.0,0.0,0.0,0.0,0.09792208671569824,0.0,0.0,0.4049057066440582,0.6917430758476257,0.0,0.0,0.0,0.03889919072389603,0.03627657890319824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10514715313911438,0.046598367393016815,0.08671686053276062,0.0,0.16372506320476532,0.05186695232987404,0.0,0.0,0
0,0,0,0,0,0,405945.7163485437,0.45374059677124023,0.389129102230072,0.0,0.0,0.48950764536857605,0.48950764536857605,0.2017720341682434,0.0,0.0,0.0,0.0,0.09950633347034454,0.0,0.0,0.40843796730041504,0.6920056939125061,0.0,0.0,0.0,0.03576447069644928,0.03864273428916931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10573936998844147,0.04536246880888939,0.08422061055898666,0.0,0.1625775694847107,0.0501072071492672,0.0,0.0,0
0,0,0,0,0,0,405979.0853485437,0.4506860077381134,0.3794889748096466,0.0,0.0,0.4887869656085968,0.4887869656085968,0.20237788558006287,0.0,0.0,0.0,0.0,0.10013094544410706,0.0,0.0,0.41338038444519043,0.6910637617111206,0.0,0.0,0.0,0.0349719263613224,0.03843635320663452,0.0,0.0,0.0,0.0,0.0014702219050377607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1030210629105568,0.04813876375555992,0.08432768285274506,0.0,0.16213247179985046,0.04947367310523987,0.0,0.0,0
0,0,0,0,0,0,406012.43523147283,0.4471479654312134,0.383072167634964,0.0,0.0,0.489087849855423,0.489087849855423,0.2024087756872177,0.0,0.0,0.0,0.0,0.10016105324029922,0.0,0.0,0.4178711175918579,0.6879569888114929,0.0,0.0,0.0,0.03533928841352463,0.03665788471698761,0.0,0.0,0.0,0.0,0.0022571387235075235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09966984391212463,0.0517989844083786,0.08755874633789062,0.0,0.16374902427196503,0.051122333854436874,0.0,0.0,0
0,0,0,0,0,0,406045.8052314728,0.4491141736507416,0.37222757935523987,0.0,0.0,0.4898506999015808,0.4898506999015808,0.20256809890270233,0.0,0.0,0.0,0.0,0.10031218081712723,0.0,0.0,0.4172828495502472,0.6867602467536926,0.0,0.0,0.0,0.03533751145005226,0.03707122802734375,0.0,0.0,0.0,0.0,0.0006675549084320664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09941520541906357,0.05400262773036957,0.08960862457752228,0.0,0.165542870759964,0.053631480783224106,0.0,0.0,0
