session,session_type,question,question_type,record_flag,answer_index,timestamp,EyeBlink_L,EyeBlink_R,EyeSquint_L,EyeSquint_R,EyeDown_L,EyeDown_R,EyeIn_L,EyeIn_R,EyeOpen_L,EyeOpen_R,EyeOut_L,EyeOut_R,EyeUp_L,EyeUp_R,BrowsD_L,BrowsD_R,BrowsU_C,BrowsU_L,BrowsU_R,JawOpen,LipsTogether,JawLeft,JawRight,JawFwd,LipsUpperUp_L,LipsUpperUp_R,LipsLowerDown_L,LipsLowerDown_R,LipsUpperClose,LipsLowerClose,MouthSmile_L,MouthSmile_R,MouthDimple_L,MouthDimple_R,LipsStretch_L,LipsStretch_R,MouthFrown_L,MouthFrown_R,MouthPress_L,MouthPress_R,LipsPucker,LipsFunnel,MouthLeft,MouthRight,ChinLowerRaise,ChinUpperRaise,Sneer_L,Sneer_R,Puff,CheekSquint_L,CheekSquint_R,audio_rms
0,0,0,0,0,0,434973.2192853957,0.52693772315979,0.5380103588104248,1.0002222061157227,1.0000029802322388,0.0,0.0,0.4131990969181061,0.0,0.0,0.0,0.0,0.3294730484485626,1.0,1.0,0.0,0.0,1.0,0.9999555945396423,0.40407508611679077,0.0,0.0,0.05571019649505615,0.0,0.3934359848499298,0.0,0.0036319661885499954,0.08100961148738861,0.0,0.0,0.0,0.08933722227811813,0.0,0.0,0.0,0.11883998662233353,0.0,0.18612103164196014,0.0,7.172347250161693e-05,0.0022247922606766224,0.0,0.00023353853612206876,0.1982690691947937,0.0,0.13510183990001678,0.044017620384693146,0.0,0.0,0.0014947863528504968,0.0,0.0,0
0,0,0,0,0,0,435006.5892853957,0.5410577058792114,0.5687034726142883,1.0000815391540527,0.9997403621673584,0.0,0.0,0.40683847665786743,0.0,0.0,0.0,0.0,0.32329314947128296,1.0,1.0,0.0,0.0,1.0,0.9999833703041077,0.3908822536468506,0.0,0.0,0.0535595566034317,0.0,0.4180775284767151,0.0,0.004732121247798204,0.07859905809164047,0.0,0.0,0.0,0.09111051261425018,0.0,0.0,0.0,0.11222027242183685,0.0,0.17590217292308807,0.0,0.0,0.010614602826535702,0.0,0.0008915578364394605,0.1877269446849823,0.0,0.14005711674690247,0.015386729501187801,0.0,0.0,0.0003170467971358448,0.0,0.0,0
0,0,0,0,0,0,435039.9582853957,0.4958374500274658,0.5612586140632629,1.0002244710922241,0.9998500943183899,0.0,0.0,0.3986925184726715,0.0,0.0,0.0,0.0,0.3152649998664856,1.0,1.0,0.0,0.0,1.0,0.9999991059303284,0.3702576756477356,0.0005926403682678938,0.0005926403682678938,0.04645337164402008,0.0,0.43097174167633057,0.0,0.0015192002756521106,0.06876971572637558,0.0,0.0,0.0,0.10338692367076874,0.0,0.0,0.0,0.11540963500738144,0.0,0.16571341454982758,0.0,0.0,0.0038310473319143057,0.0,0.0003290432214271277,0.1846335381269455,0.0,0.13528098165988922,0.002266501309350133,0.0,0.0,1.4546421880368143e-05,0.0,0.0,0
0,0,0,0,0,0,435073.3272853957,0.6298165321350098,0.6457681059837341,1.0002456903457642,0.9824745059013367,0.0,0.0,0.38558870553970337,0.0,0.0,0.0,0.0,0.301938533782959,1.0,1.0,0.0,0.0,1.0,1.0,0.3425475060939789,0.007593498099595308,0.007593498099595308,0.045376114547252655,0.0,0.43230247497558594,0.0,7.775457197567448e-05,0.03912777826189995,0.0030694364104419947,0.0,0.0,0.11354920268058777,0.0,0.0,0.0,0.10910777002573013,0.0,0.14847968518733978,0.001708825002424419,0.007202581502497196,0.00019971391884610057,0.0,1.724249159451574e-05,0.1939394623041153,0.0,0.12251032143831253,9.199384658131748e-05,0.0,0.0,0.0,0.0,0.0,0
0,0,0,0,0,0,435106.6962853957,0.9699472188949585,0.9721587896347046,1.0000907182693481,0.9769484400749207,0.0,0.0,0.36969703435897827,0.0,0.0,0.0,0.0,0.28576064109802246,1.0,1.0,0.0,0.0,1.0,1.0,0.31355348229408264,0.01357006561011076,0.01357006561011076,0.0435451976954937,0.0,0.4345380961894989,0.0,0.0,0.012520665302872658,0.004908858332782984,0.0,0.0,0.11920259892940521,0.0,0.0,0.0,0.09028255194425583,0.0,0.12874603271484375,0.0006394023075699806,0.01364870648831129,0.0,0.0,0.0,0.1964997798204422,0.0,0.10963767021894455,0.0,0.0,0.0,0.0,0.0,0.0,0
0,0,0,0,0,0,435140.0662853957,0.8314272165298462,0.8346481323242188,0.9943270087242126,0.990573525428772,0.0,0.0,0.356102854013443,0.0,0.0,0.0,0.0,0.27198025584220886,1.0,1.0,0.0,0.0,1.0,1.0,0.2923157811164856,0.013537421822547913,0.013537421822547913,0.039768390357494354,0.0,0.4403833746910095,0.0,0.0,0.0018690899014472961,0.0014668753137812018,0.0,0.0,0.1285923719406128,0.0,0.0,0.0,0.07915706932544708,0.0,0.1129298135638237,3.350533006596379e-05,0.01514624897390604,0.0,0.0,0.0,0.19468697905540466,0.0,0.09694793075323105,0.0,0.0,0.0,0.0,0.0,0.0,0
0,0,0,0,0,0,435173.4352853957,0.9284125566482544,0.929345965385437,0.9924472570419312,0.9865898489952087,0.0,0.0,0.3486020267009735,0.0,0.0,0.0,0.0,0.26439201831817627,1.0,1.0,0.0,0.0,1.0,1.0,0.2756929397583008,0.010442658327519894,0.010442658327519894,0.03497888892889023,0.0,0.44731369614601135,0.0,0.0,7.687880133744329e-05,7.370569073827937e-05,0.0,0.0,0.1347920447587967,0.0,0.0,0.0,0.07453987747430801,0.0,0.10433824360370636,0.0,0.014800475910305977,0.0,0.0,0.0,0.19620387256145477,0.0,0.08547541499137878,0.0,0.0,0.0,0.0,0.0,0.0,0
0,0,0,0,0,0,435206.8042853957,5.443235977509175e-07,0.9140198230743408,0.9937520027160645,0.9871282577514648,0.0,0.0,0.34419310092926025,0.0,0.4633786380290985,0.0,0.0,0.2600693702697754,1.0,1.0,0.0,0.0,1.0,1.0,0.26475873589515686,0.0026995097286999226,0.0026995097286999226,0.02714117057621479,0.0,0.45666196942329407,0.0,0.0,0.0005724466172978282,0.0,0.0,0.0,0.14266908168792725,0.0,0.0,0.0,0.07071125507354736,0.0,0.0935797393321991,0.0,0.010480832308530807,0.0007552452152594924,0.0,0.0,0.198972687125206,0.0,0.07680469751358032,0.0,0.0,0.0,0.0,0.0,0.0,0
0,0,0,0,0,0,435240.17328539566,0.23710615932941437,0.24036383628845215,0.9957113862037659,0.9827257394790649,0.0,0.0,0.34098684787750244,0.0,0.0,0.0,0.0,0.25704580545425415,1.0,1.0,0.0,0.0,1.0,1.0,0.25700387358665466,0.0001318207650911063,0.0001318207650911063,0.019616547971963882,0.0,0.4685490131378174,0.0,0.0,0.006814653519541025,0.0,0.0,0.0,0.15080690383911133,0.0,0.0,0.0,0.06981319189071655,0.0,0.08199203759431839,0.0,0.0025745804887264967,0.006415890995413065,0.0,5.954877633485012e-05,0.19942204654216766,0.0,0.06365683674812317,0.0,0.0,0.0,0.0,0.0,0.0,0
0,0,0,0,0,0,435273.5224208279,0.5558216571807861,0.5684029459953308,0.9986443519592285,0.9814096093177795,0.0,0.0,0.3393940031528473,0.0,0.0,0.0,0.0,0.25558146834373474,1.0,1.0,0.0,0.0,1.0,1.0,0.2490307241678238,0.0,0.0,0.00856371782720089,0.0,0.4796121120452881,0.0,0.0006695525371469557,0.014701665379106998,0.0,0.0,0.0,0.1570509970188141,0.000874850491527468,0.0,0.0,0.07221151143312454,0.0,0.07647967338562012,0.0,0.000124106984003447,0.01017873827368021,0.0,2.2283806174527854e-05,0.19474728405475616,0.0,0.04643367975950241,0.0,0.0,0.0,0.0,0.0,0.0,0
